电影名字,电影链接,评分,评分人数,导演,主演,年份,国家,类型,一句话评价
看不见的客人/Contratiempo/死无对证(港)/布局(台),https://movie.douban.com/subject/26580232/,8.8,1351066,导演: 奥里奥尔·保罗 Oriol Paulo,主演: 马里奥·卡萨斯 Mario Casas / 阿...,2016,西班牙,剧情犯罪悬疑惊悚,你以为你以为的就是你以为的。
哈利·波特与死亡圣器(下)/HarryPotterandtheDeathlyHallows:Part2/哈利波特7：死神的圣物2(港/台),https://movie.douban.com/subject/3011235/,9.0,887938,导演: 大卫·叶茨 David Yates,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,美国英国,奇幻冒险,10年的完美句点。
阿凡达/Avatar/,https://movie.douban.com/subject/1652587/,8.8,1490165,导演: 詹姆斯·卡梅隆 James Cameron,主演: 萨姆·沃辛顿 Sam Worthington ...,2009,美国,动作科幻冒险,绝对意义上的美轮美奂。
拯救大兵瑞恩/SavingPrivateRyan/雷霆救兵(港)/抢救雷恩大兵(台),https://movie.douban.com/subject/1292849/,9.1,682506,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 汤姆·汉克斯 Tom Hanks...,1998,美国,剧情战争,美利坚精神输出大片No1.
功夫/功夫3D/KungFuHustle,https://movie.douban.com/subject/1291543/,8.8,1224195,导演: 周星驰 Stephen Chow,主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004,中国大陆中国香港,动作喜剧犯罪奇幻,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
小鞋子/بچههایآسمان/天堂的孩子/小童鞋,https://movie.douban.com/subject/1303021/,9.2,434982,导演: 马基德·马基迪 Majid Majidi,主演: 默罕默德·阿米尔·纳吉 Mohamma...,1997,伊朗,剧情儿童家庭,奔跑的孩子是天使。
飞越疯人院/OneFlewOvertheCuckoo'sNest/飞越杜鹃窝(台)/飞越喜鹊巢,https://movie.douban.com/subject/1292224/,9.1,573740,导演: 米洛斯·福尔曼 Miloš Forman,主演: 杰克·尼科尔森 Jack Nichols...,1975,美国,剧情,自由万岁。
沉默的羔羊/TheSilenceoftheLambs/沉默的羔羊,https://movie.douban.com/subject/1293544/,8.9,948663,导演: 乔纳森·戴米 Jonathan Demme,主演: 朱迪·福斯特 Jodie Foster / 安...,1991,美国,剧情犯罪惊悚,安东尼·霍普金斯的顶级表演。
布达佩斯大饭店/TheGrandBudapestHotel/布达佩斯大酒店(港)/欢迎来到布达佩斯大饭店(台),https://movie.douban.com/subject/11525673/,8.9,1007426,导演: 韦斯·安德森 Wes Anderson,主演: 拉尔夫·费因斯 Ralph Fiennes / ...,2014,美国德国英国,剧情喜剧冒险,小清新的故事里注入了大历史的情怀。
哈利·波特与阿兹卡班的囚徒/HarryPotterandthePrisonerofAzkaban/哈利波特3：阿兹卡班的逃犯(港/台),https://movie.douban.com/subject/1291544/,9.0,792991,导演: Alfonso Cuarón,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...,2004,英国美国,奇幻冒险,不一样的导演，不一样的哈利·波特。
蝴蝶效应/TheButterflyEffect/蝴蝶效应,https://movie.douban.com/subject/1292343/,8.9,996193,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,主...,2004,美国加拿大,剧情悬疑科幻惊悚,人的命运被自己瞬间的抉择改变。
禁闭岛/ShutterIsland/不赦岛(港)/隔离岛(台),https://movie.douban.com/subject/2334904/,8.9,1040442,导演: Martin Scorsese,主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010,美国,剧情悬疑惊悚,昔日翩翩少年，今日大腹便便。
致命魔术/ThePrestige/死亡魔法(港)/顶尖对决(台),https://movie.douban.com/subject/1780330/,8.9,909422,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 休·杰克曼 Hugh Jackman...,2006,英国美国,剧情悬疑惊悚,孪生蝙蝠侠大战克隆金刚狼。
心灵捕手/GoodWillHunting/骄阳似我(港)/心灵捕手,https://movie.douban.com/subject/1292656/,9.0,764961,导演: 格斯·范·桑特 Gus Van Sant,主演: 马特·达蒙 Matt Damon / 罗宾·...,1997,美国,剧情,人生中应该拥有这样的一段豁然开朗。
超脱/Detachment/人间师格(台),https://movie.douban.com/subject/5322596/,9.0,660502,导演: 托尼·凯耶 Tony Kaye,主演: 艾德里安·布洛迪 Adrien Brody / 马西...,2011,美国,剧情,穷尽一生，我们要学会的，不过是彼此拥抱。
低俗小说/PulpFiction/危险人物(港)/黑色追缉令(台),https://movie.douban.com/subject/1291832/,8.9,891396,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,主演: 约翰·特拉沃尔塔 John Tra...,1994,美国,剧情喜剧犯罪,故事的高级讲法。
摩登时代/ModernTimes/TheMasses/LesTempsmodernes,https://movie.douban.com/subject/1294371/,9.3,322036,导演: 查理·卓别林 Charles Chaplin,主演: 查理·卓别林 Charles Chaplin ...,1936,美国,剧情喜剧爱情,大时代中的人生，小人物的悲喜。
喜剧之王/喜劇之王/KingofComedy,https://movie.douban.com/subject/1302425/,8.8,1023592,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,主演: 周星驰 Stephen Ch...,1999,中国香港,喜剧剧情爱情,我是一个演员。
春光乍泄/春光乍洩/一起快乐/HappyTogether,https://movie.douban.com/subject/1292679/,9.0,668720,导演: 王家卫 Kar Wai Wong,主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997,中国香港日本韩国,剧情爱情同性,爱情纠缠，男女一致。
海豚湾/TheCove/血色海湾(台)/海湾,https://movie.douban.com/subject/3442220/,9.3,369315,导演: 路易·西霍尤斯 Louie Psihoyos,主演: 路易·西霍尤斯 Louie Psihoyo...,2009,美国,纪录片,海豚的微笑，是世界上最高明的伪装。
致命ID/Identity/杀人游戏/致命身份,https://movie.douban.com/subject/1297192/,8.9,882315,导演: 詹姆斯·曼高德 James Mangold,主演: 约翰·库萨克 John Cusack / 雷...,2003,美国,剧情悬疑惊悚,最不可能的那个人永远是最可能的。
杀人回忆/살인의추억/谋杀回忆/杀手回忆录,https://movie.douban.com/subject/1300299/,8.9,771207,导演: 奉俊昊 Joon-ho Bong,主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003,韩国,剧情动作犯罪悬疑惊悚,关于连环杀人悬案的集体回忆。
美国往事/OnceUponaTimeinAmerica/四海兄弟(台)/义薄云天(港),https://movie.douban.com/subject/1292262/,9.1,440280,导演: 赛尔乔·莱翁内 Sergio Leone,主演: 罗伯特·德尼罗 Robert De Niro ...,1984,美国意大利,犯罪剧情,往事如烟，无处祭奠。
哈利·波特与密室/HarryPotterandtheChamberofSecrets/哈利波特2：消失的密室(港/台),https://movie.douban.com/subject/1296996/,8.9,820245,导演: Chris Columbus,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002,英国美国,奇幻冒险,魔法的密室之门已打开...
